iter	RMSE
0	362.4372956
1	358.5428512
2	354.7863307
3	351.7196449
4	348.3965066
5	345.444075
6	343.207257
7	341.221763
8	338.9114158
9	336.8368189
10	335.2531699
11	334.2235613
12	333.2101749
13	332.3347848
14	331.4867604
15	330.649761
16	329.8781792
17	329.2756119
18	328.4517111
19	327.9342434
20	327.1658217
21	326.4953066
22	326.1044169
23	325.4397129
24	324.8544611
25	324.3975791
26	323.803243
27	323.3345923
28	322.9279255
29	322.6924366
30	322.4246032
31	322.2172793
32	321.8812634
33	321.5053472
34	321.1090185
35	320.8181199
36	320.6571901
37	320.4338412
38	320.1020402
39	319.9268856
40	319.6867554
41	319.5596658
42	319.339117
43	319.1949268
44	319.0475409
45	318.906463
46	318.777961
47	318.6711499
48	318.5068309
49	318.1750889
50	318.0799991
51	317.850173
52	317.7770735
53	317.6684977
54	317.5307074
55	317.4470165
56	317.3799778
57	317.2903203
58	317.1086585
59	317.0292208
60	316.9667201
61	316.9003944
62	316.8431742
63	316.7947705
64	316.7323455
65	316.5831887
66	316.5254677
67	316.4637528
68	316.2947027
69	316.0838236
70	316.0106287
71	315.8977206
72	315.8346038
73	315.7765078
74	315.7116061
75	315.5095485
76	315.4561369
77	315.2946698
78	315.2361902
79	315.1732591
80	315.0567459
81	315.0212436
82	314.961765
83	314.7988601
84	314.7450917
85	314.6950041
86	314.6067655
87	314.4972298
88	314.4459286
89	314.4003561
90	314.3565476
91	314.2785835
92	314.2163778
93	314.1827389
94	314.1415693
95	314.0635129
96	314.0114181
97	313.9469916
98	313.9105535
99	313.8690773
100	313.8217922
101	313.7895383
102	313.7211135
103	313.6772225
104	313.6119135
105	313.553688
106	313.5212298
107	313.4649797
108	313.4151908
109	313.3234345
110	313.2883809
111	313.2397939
112	313.2036821
113	313.1485322
114	313.117479
115	313.0806772
116	313.040852
117	312.9671711
118	312.9265358
119	312.885885
120	312.8561789
121	312.8186885
122	312.7702322
123	312.7334099
124	312.6885576
125	312.6373186
126	312.5919351
127	312.534572
128	312.4951093
129	312.4176302
130	312.3712873
131	312.3215296
132	312.2391478
133	312.2097984
134	312.0957822
135	312.0218821
136	311.9706153
137	311.9232069
138	311.7782361
139	311.7376604
140	311.6993228
141	311.651475
142	311.5330024
143	311.4485115
144	311.3379438
145	311.2272256
146	311.1630176
147	311.1190039
148	310.9799144
149	310.9264182
150	310.8911598
151	310.8389914
152	310.7938887
153	310.740789
154	310.6579559
155	310.5880593
156	310.5037751
157	310.4631905
158	310.4266381
159	310.3603099
160	310.3121935
161	310.2732798
162	310.1478963
163	310.0969439
164	309.9472099
165	309.8047325
166	309.7627042
167	309.7226501
168	309.6810802
169	309.6328715
170	309.5483527
171	309.4875818
172	309.4464575
173	309.371184
174	309.3226241
175	309.2838341
176	309.2441838
177	309.1987787
178	309.0960839
179	309.0401332
180	308.9767481
181	308.8961897
182	308.8528373
183	308.8248574
184	308.7778964
185	308.7262902
186	308.6736617
187	308.567953
188	308.5055479
189	308.4506708
190	308.4049677
191	308.3541766
192	308.314587
193	308.2810807
194	308.2345781
195	308.1589934
196	308.1108157
197	308.0801446
198	308.0278129
199	307.9828965
200	307.9414452
201	307.8908829
202	307.8454364
203	307.7994318
204	307.7423507
205	307.6998429
206	307.6267537
207	307.5091147
208	307.4604011
209	307.3981949
210	307.3412391
211	307.2906937
212	307.2399705
213	307.1989491
214	307.1622891
215	307.0964469
